team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
VGK,2024,3.3305912113424543,2.8030302013647983,2.685620762216507,2.4175356558335284,9.39403089072117,0.8319591220531878,1.1708054960292449,6.328249086096054,114.25,85.21,0.5727965506868545,0.54,0.51,0.52,2.282715908557165,2.5001174236578474,-0.2174015151006822,0.2183677440566855,0.9000467071461934,0.7519083969465649
TOR,2024,3.1582172795538157,3.2253464814285957,2.3768444110806186,2.394417849099792,8.710544657970726,1.3693119585781142,0.7183040044339755,8.741028128031038,111.16,110.77,0.5008786554318929,0.49,0.47,0.48,3.3383170662052515,3.14479143917886,0.1935256270263914,0.455510944613369,0.9048212801330008,0.7730263157894737
MIN,2024,2.862671810947673,2.871232216059802,2.2101112429070624,2.282819863430898,7.864993081636687,0.6564538446333268,0.6435050124648597,7.649498753514029,94.73,85.62,0.5252564457998337,0.5,0.48,0.48,3.038340969375452,3.0142271521581865,0.0241138172172656,0.0258017844224739,0.9028006589785832,0.7176470588235294
PHI,2024,3.004173965267004,2.8492267654271557,2.55406381987827,2.277280829947486,5.4616497829233,1.114905933429812,1.067959096719216,7.151682999573924,99.65,86.53,0.5352347190890536,0.51,0.48,0.5,3.038886942595466,3.1590010509984485,-0.1201141084029826,-0.5500025023772583,0.8719457013574661,0.6951219512195121
BUF,2024,3.079935775172881,3.3483124222748866,2.3867643567325754,2.6478284231440483,7.616618675442205,1.0086384204031262,0.9212854305831376,7.667629536017332,103.69,116.62,0.4706549861558712,0.48,0.5,0.49,3.728794242559339,3.6322558802924303,0.0965383622669087,-0.1150013240504543,0.878954027836356,0.7009063444108761
CGY,2024,2.9009292980451087,3.031197624942106,2.346886006881528,2.429708654844555,6.586347494410101,0.7386557937656189,0.6479663394109397,6.8431977559607295,96.84,94.52,0.506061872909699,0.49,0.51,0.51,3.46662490545417,3.62256304999017,-0.1559381445360008,0.2003205395193238,0.9005059021922428,0.7423076923076923
SJS,2024,2.6864123058362237,3.560729904991706,2.2185347758887173,2.858485316846986,6.31748271482997,0.9295893890221532,0.6723285587526936,8.825453162631511,83.98,123.97,0.4038470786246694,0.43,0.46,0.46,3.58316995928216,3.3056854169808476,0.2774845423013121,-0.1792791434172826,0.8810893747602608,0.7401129943502824
CBJ,2024,2.953707143215702,3.2134531399026156,2.5472110261848018,2.718237847602147,5.981879309362357,0.8410735654453244,0.9998030332873744,6.98266692928895,99.44,100.75,0.4967281082971177,0.48,0.49,0.49,3.228753576627679,2.7709452336730083,0.4578083429546709,-0.0032528487525724,0.8911536893599674,0.7639344262295082
MTL,2024,2.90516638620602,3.429907698895666,2.495102692172183,2.8144328614950984,5.937842117168062,0.8729246776747343,0.825653642466953,7.614027771986156,85.74,115.54,0.4259737678855325,0.46,0.47,0.47,3.7455714539013023,3.492655053477099,0.2529164004242035,0.2865181507662767,0.8904741921947126,0.8066465256797584
UTA,2024,3.276069320180342,3.0065976312601577,2.738029832142945,2.401495707221871,7.542966437451614,0.7229837424290724,0.4756563854193219,7.212847310731583,105.08,94.98,0.5252424272718185,0.52,0.52,0.52,3.616182718010499,3.4600020690598794,0.1561806489506194,0.039165301198386,0.8912852112676056,0.6704980842911877
NYR,2024,3.135652402293703,3.357359076323206,2.5301783011554506,2.725829672560818,8.258511017251031,0.9562872118467254,1.216520650813517,7.378360882137154,102.62,113.18,0.4755329008341056,0.48,0.5,0.5,3.3698444713068247,3.115287874553432,0.2545565967533929,0.2663146871748598,0.8959608323133414,0.7682926829268293
FLA,2024,3.454142091152815,2.843927613941019,2.6901954932099685,2.22533950156693,9.43514394600303,0.7719362688828688,0.8186817983413357,7.008293321693584,119.73,98.94,0.5475373851008368,0.55,0.56,0.55,3.896782841823056,3.75201072386059,0.1447721179624661,0.1535790884718497,0.8961824953445066,0.7169811320754718
TBL,2024,3.283140071487306,2.934684767834069,2.5755915136110863,2.441836181286881,7.901021135122298,0.6822132510092614,1.1333885666942831,7.098591549295775,109.32,94.12,0.5373574518285489,0.53,0.51,0.51,3.129331610478092,3.3830612005168565,-0.2537295900387644,0.3248946988639222,0.9065743944636678,0.7985074626865671
BOS,2024,2.856241015691754,3.118728575880337,2.2790638566515127,2.4323985291284225,6.95914981390969,1.4738352540244832,0.740565823532083,7.459606739021843,96.5,104.2,0.4808171400099651,0.48,0.48,0.48,3.6791684677168046,3.6188542305411193,0.0603142371756852,-0.1503030790418075,0.8844842284739983,0.7275862068965517
PIT,2024,3.1256284432670016,3.3091489297648793,2.578724639083017,2.663313423451745,8.76287124103901,1.0272786518946095,0.5941224726149689,8.036288182213,103.62,111.94,0.4807014288365188,0.49,0.5,0.49,2.9262124815606465,3.034590721618448,-0.1083782400578017,-0.1469127254116866,0.8838996763754046,0.7142857142857143
EDM,2024,3.3500894045522376,2.768448931850876,2.757721445221445,2.300262237762238,7.629362689440687,0.870810090339142,0.8296388156874903,6.957060920787475,105.64,90.34,0.5390345953668741,0.55,0.54,0.54,3.000766324733467,3.0612656457966416,-0.0604993210631747,-0.0750191581183365,0.8937132519222072,0.765625
COL,2024,3.1343361691849383,2.798837927055098,2.518320235756385,2.2314341846758348,6.755379805039544,0.7879345227147324,0.6784172296439275,6.1148981561436475,96.66,92.91,0.5098908055072006,0.53,0.54,0.54,2.8260111108129142,3.1883202275838007,-0.3623091167708865,0.0090577279192721,0.8913452492944497,0.7038461538461538
WSH,2024,3.3066786362692353,3.0193143829513556,2.708823529411765,2.5123529411764705,7.364394789481388,1.05732546226277,0.9879680951737192,6.682168446667568,114.2,95.62,0.5442760461347822,0.52,0.5,0.51,3.569442676546055,3.3885587571264915,0.1808839194195637,0.2578198798126846,0.897355445988346,0.7473684210526316
VAN,2024,2.7676062675612707,2.853520253582249,2.175159040486376,2.2701788362771658,7.06998502994012,0.8521706586826348,0.6676108701425157,7.015490838275649,100.76,93.16,0.5195957095709571,0.49,0.49,0.49,3.515753897227194,3.4917555771096023,0.0239983201175917,-0.1582689211755177,0.8857012750455373,0.7185185185185186
CAR,2024,3.5520032321055823,2.8705945727560436,3.0248000066733955,2.4201403081440453,7.171971252566735,0.9856262833675564,1.1691453843819104,5.655292026189134,106.41,97.7,0.5213365342217431,0.55,0.59,0.58,3.3088680896909297,3.2725069018921285,0.0363611877988012,0.0829035081812673,0.8875305623471883,0.7534246575342466
WPG,2024,3.117874964297115,2.7930711201465077,2.552468776938035,2.2724535412866107,8.832204978648058,0.8230392667430475,0.7367875647668394,6.9258031088082905,103.84,86.67,0.5450632512728991,0.53,0.5,0.51,2.746013877921336,3.012147381508426,-0.2661335035870897,0.4946454073489136,0.9147599820547332,0.736
NSH,2024,3.198070655190159,3.103500469218272,2.4952389653210636,2.5287260858190517,6.949833742952147,0.7442532889981206,0.7493226680428332,7.038059605212231,103.58,98.54,0.512467840886602,0.51,0.52,0.51,3.6568753090281634,3.51156900535817,0.1453063036699933,-0.2143267979132398,0.8831058020477816,0.7259786476868327
STL,2024,2.677087689831807,2.785370864184313,2.235365722673732,2.275321327557194,6.786869181773641,0.6722195002449779,0.5648988518316019,8.00503007107709,83.8,88.57,0.4861634855253234,0.49,0.49,0.49,2.987122051103609,3.0112117450641223,-0.024089693960513,0.0030112117450641,0.896690518783542,0.7480916030534351
ANA,2024,2.902310292761795,3.568179692406366,2.3773892562732133,2.8971003631751886,6.181331906926986,0.9194971917625032,1.061235428112019,7.846710438161597,90.51,115.95,0.4383900029061319,0.45,0.46,0.46,3.728002779299563,3.4153315784550835,0.3126712008444796,0.4294418685444752,0.9014722536806342,0.7402985074626866
NJD,2024,3.339399881803041,2.9416939773276742,2.536359622585973,2.3759423086357168,10.276293695618987,0.9909937414135248,1.1426009772717085,7.576993768772135,118.98,95.84,0.5538590447816777,0.53,0.52,0.51,3.2759361736420782,3.1187879439101702,0.157148229731908,0.2822623972492343,0.8983364140480592,0.7854545454545454
DET,2024,3.103288131163361,3.2228309492455693,2.3649519167171085,2.5834372231553377,8.573265020959479,0.6824406148113648,0.6821096412685576,9.200161746866154,105.01,111.38,0.4852812052312954,0.49,0.48,0.49,2.62970074085988,3.220780265181596,-0.5910795243217164,0.09855346354507,0.8891741548994437,0.7234726688102894
NYI,2024,2.9297111978626096,3.125571678239733,2.5365485514256925,2.53553693794233,5.078458552813973,0.6869975048516773,1.217643982100308,7.906317196489801,83.22,100.1,0.453960288020947,0.48,0.5,0.5,2.4226434803570354,2.6637025331288795,-0.2410590527718441,0.0279628501215338,0.8909630886720408,0.754325259515571
SEA,2024,2.8832669523569447,3.2356138139652133,2.2621915393654524,2.6402761457109283,6.795867539894844,0.8700304399963104,1.0480856882406564,8.003190519598906,87.73,110.24,0.443147951709855,0.47,0.48,0.48,2.8313587093521555,3.3032518275775145,-0.4718931182253589,0.0654600453743386,0.8881775501493812,0.7670807453416149
OTT,2024,3.051225049186944,3.0957808532463384,2.4016570817510505,2.4175711290553457,6.623106670963583,0.4887205929745408,0.97337909284853,8.728689360912718,99.81,108.69,0.478705035971223,0.5,0.51,0.51,3.559621302571174,4.019708409706223,-0.4600871071350494,0.2868279886323506,0.9011504047720494,0.7396825396825397
LAK,2024,3.033757442050228,2.5858744597902628,2.620072329771392,2.1244824821221098,6.1767922235722965,0.7253948967193196,0.9356535815459328,5.937677053824363,96.37,74.06,0.5654520917678812,0.54,0.53,0.53,3.3727220526458943,3.010063767415153,0.3626582852307414,0.1318867297289128,0.903010033444816,0.7535545023696683
DAL,2024,3.2635575055936674,3.0653300096083425,2.644024022283938,2.63955399012454,7.57624004898959,0.7627679118187385,0.9145263157894736,6.167578947368421,101.68,97.59,0.5102624579715963,0.52,0.5,0.49,2.9752266023422855,3.1445484414999765,-0.1693218391576909,0.3803694172506701,0.906801007556675,0.7508771929824561
CHI,2024,2.490280995064962,3.3675898882062643,2.0856039210830115,2.754297173033367,6.392523364485982,0.8820992092020129,0.852920100322465,6.923324973127911,79.56,109.88,0.4199746621621621,0.43,0.44,0.44,3.154396213113103,2.791821935743781,0.3625742773693221,-0.161466411521805,0.8855799373040752,0.7546583850931677
