team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
CGY,2013,2.370306603537502,2.5797939960560954,1.9315683643378923,2.2084925707340353,6.152092960653237,0.4247835255058549,1.1807974538060295,6.212713287949783,66.03,68.57,0.4905646359583953,0.48,0.47,0.48,3.627591315402248,3.7356983413579443,-0.10810702595569621,-0.27903624588342446,0.8985939497230507,0.6473429951690821
SJS,2013,3.1874607900737892,2.225749594208383,2.615516248457425,1.9480872069107367,7.2591773551525876,0.745687748783724,1.0266487730061349,5.269555214723926,92.56,55.2,0.6264212236058474,0.59,0.54,0.56,3.3339640115115365,4.086794594756077,-0.7528305832445401,-0.0805409227153684,0.9154250657318141,0.6604938271604939
VAN,2013,2.4647703106123386,2.490649680002396,2.0686148875689256,2.0949121130029345,6.287060352530258,0.6945008528957842,0.6211247857921794,4.518928181959806,64.53,65.07,0.4979166666666667,0.5,0.52,0.52,4.337190610741136,4.049642061962719,0.2875485487784175,-0.09728725900336477,0.9072164948453608,0.5775401069518716
NYR,2013,2.73008224473429,2.555284501011701,2.3767143163552404,2.244691454598216,5.862298272646176,0.972183926688833,0.7906933457422056,5.586784550953932,64.16,67.1,0.4888008532683224,0.52,0.53,0.53,3.8052031287225727,4.203843456493509,-0.39864032777093605,0.2600826138457047,0.9211945250933222,0.7093596059113301
TOR,2013,2.4520045933396575,3.2690998052823406,2.068896688235,2.7874715148289226,5.345300865365265,0.827369692090964,0.45948784231359563,7.017368123434849,61.05,86.23,0.41451656708310697,0.43,0.44,0.43,4.3496929452294175,4.1340056917469665,0.215687253482451,0.24947825652803426,0.9144312393887946,0.6721311475409837
FLA,2013,2.4735500913906048,2.745040225207797,2.30064205254992,2.329856074271226,4.435294117647059,0.8274509803921568,0.8571428571428571,6.90665291387313,59.43,75.46,0.4405812143227816,0.47,0.5,0.5,3.8063853348098142,3.9144530572492093,-0.10806772243939511,-0.40093125025015663,0.8972951783614269,0.5446009389671361
CAR,2013,2.721910366227167,2.8050570880571986,2.3110123136099108,2.4743612158753154,5.581091587622454,0.8900637536930492,0.8599312203736407,5.6280323450134775,66.72,68.55,0.49323575072078074,0.49,0.51,0.5,3.47047186768826,3.8440296034463715,-0.37355773575811124,0.08170069188516113,0.9109184075679937,0.6161616161616161
PHI,2013,2.8509020003272108,2.636585520582569,2.208117132646991,2.2245302927013544,7.665046398585948,0.8404772425983208,0.6960334861470998,5.397249352202511,87.63,73.28,0.544590143558511,0.52,0.51,0.51,4.807997302179292,4.531537457303982,0.2764598448753093,-0.09195294840417903,0.9094896331738437,0.6407766990291262
OTT,2013,2.7130393115978197,2.859903767444646,2.2502503530620106,2.3849017845679805,7.08673835125448,1.0551971326164875,0.7475135229453848,5.490141336590473,82.93,75.77,0.5225582860743542,0.49,0.51,0.5,5.019266476331183,4.408329506658414,0.6109369696727693,-0.23071854972348105,0.9094736842105263,0.6403508771929824
BUF,2013,2.168858514837939,2.9856342455559597,1.8320837192538357,2.478737002686426,5.246538741802283,0.6295846490162741,0.43534514445342937,6.691612144379916,57.44,79.23,0.4202824321358015,0.42,0.43,0.43,4.0364266145205905,3.8442158233529438,0.19221079116764672,0.06643285469731808,0.9137380191693291,0.6880733944954128
