season,nhl_tricode,team_name,wins,losses,ot,points
2013,CHI,Chicago Blackhawks,36,7,5,77
2013,PIT,Pittsburgh Penguins,36,12,0,72
2013,ANA,Anaheim Ducks,30,12,6,66
2013,MTL,Montreal Canadiens,29,14,5,63
2013,BOS,Boston Bruins,28,14,6,62
2013,STL,St. Louis Blues,29,17,2,60
2013,VAN,Vancouver Canucks,26,15,7,59
2013,LAK,Los Angeles Kings,27,16,5,59
2013,WSH,Washington Capitals,27,18,3,57
2013,TOR,Toronto Maple Leafs,26,17,5,57
2013,SJS,San Jose Sharks,25,16,7,57
2013,DET,Detroit Red Wings,24,16,8,56
2013,NYR,New York Rangers,26,18,4,56
2013,OTT,Ottawa Senators,25,17,6,56
2013,MIN,Minnesota Wild,26,19,3,55
2013,CBJ,Columbus Blue Jackets,24,17,7,55
2013,NYI,New York Islanders,24,17,7,55
2013,WPG,Winnipeg Jets,24,21,3,51
2013,ARI,Phoenix Coyotes,21,18,9,51
2013,PHI,Philadelphia Flyers,23,22,3,49
2013,BUF,Buffalo Sabres,21,21,6,48
2013,DAL,Dallas Stars,22,22,4,48
2013,NJD,New Jersey Devils,19,19,10,48
2013,EDM,Edmonton Oilers,19,22,7,45
2013,CGY,Calgary Flames,19,25,4,42
2013,CAR,Carolina Hurricanes,19,25,4,42
2013,NSH,Nashville Predators,16,23,9,41
2013,TBL,Tampa Bay Lightning,18,26,4,40
2013,COL,Colorado Avalanche,16,25,7,39
2013,FLA,Florida Panthers,15,27,6,36
2014,BOS,Boston Bruins,54,19,9,117
2014,ANA,Anaheim Ducks,54,20,8,116
2014,COL,Colorado Avalanche,52,22,8,112
2014,STL,St. Louis Blues,52,23,7,111
2014,SJS,San Jose Sharks,51,22,9,111
2014,PIT,Pittsburgh Penguins,51,24,7,109
2014,CHI,Chicago Blackhawks,46,21,15,107
2014,TBL,Tampa Bay Lightning,46,27,9,101
2014,MTL,Montreal Canadiens,46,28,8,100
2014,LAK,Los Angeles Kings,46,28,8,100
2014,MIN,Minnesota Wild,43,27,12,98
2014,NYR,New York Rangers,45,31,6,96
2014,PHI,Philadelphia Flyers,42,30,10,94
2014,DET,Detroit Red Wings,39,28,15,93
2014,CBJ,Columbus Blue Jackets,43,32,7,93
2014,DAL,Dallas Stars,40,31,11,91
2014,WSH,Washington Capitals,38,30,14,90
2014,ARI,Phoenix Coyotes,37,30,15,89
2014,NSH,Nashville Predators,38,32,12,88
2014,OTT,Ottawa Senators,37,31,14,88
2014,NJD,New Jersey Devils,35,29,18,88
2014,TOR,Toronto Maple Leafs,38,36,8,84
2014,WPG,Winnipeg Jets,37,35,10,84
2014,CAR,Carolina Hurricanes,36,35,11,83
2014,VAN,Vancouver Canucks,36,35,11,83
2014,NYI,New York Islanders,34,37,11,79
2014,CGY,Calgary Flames,35,40,7,77
2014,EDM,Edmonton Oilers,29,44,9,67
2014,FLA,Florida Panthers,29,45,8,66
2014,BUF,Buffalo Sabres,21,51,10,52
2015,NYR,New York Rangers,53,22,7,113
2015,MTL,Montreal Canadiens,50,22,10,110
2015,ANA,Anaheim Ducks,51,24,7,109
2015,STL,St. Louis Blues,51,24,7,109
2015,TBL,Tampa Bay Lightning,50,24,8,108
2015,NSH,Nashville Predators,47,25,10,104
2015,CHI,Chicago Blackhawks,48,28,6,102
2015,WSH,Washington Capitals,45,26,11,101
2015,VAN,Vancouver Canucks,48,29,5,101
2015,NYI,New York Islanders,47,28,7,101
2015,DET,Detroit Red Wings,43,25,14,100
2015,MIN,Minnesota Wild,46,28,8,100
2015,WPG,Winnipeg Jets,43,26,13,99
2015,OTT,Ottawa Senators,43,26,13,99
2015,PIT,Pittsburgh Penguins,43,27,12,98
2015,CGY,Calgary Flames,45,30,7,97
2015,BOS,Boston Bruins,41,27,14,96
2015,LAK,Los Angeles Kings,40,27,15,95
2015,DAL,Dallas Stars,41,31,10,92
2015,FLA,Florida Panthers,38,29,15,91
2015,COL,Colorado Avalanche,39,31,12,90
2015,CBJ,Columbus Blue Jackets,42,35,5,89
2015,SJS,San Jose Sharks,40,33,9,89
2015,PHI,Philadelphia Flyers,33,31,18,84
2015,NJD,New Jersey Devils,32,36,14,78
2015,CAR,Carolina Hurricanes,30,41,11,71
2015,TOR,Toronto Maple Leafs,30,44,8,68
2015,EDM,Edmonton Oilers,24,44,14,62
2015,ARI,Arizona Coyotes,24,50,8,56
2015,BUF,Buffalo Sabres,23,51,8,54
2016,WSH,Washington Capitals,56,18,8,120
2016,DAL,Dallas Stars,50,23,9,109
2016,STL,St. Louis Blues,49,24,9,107
2016,PIT,Pittsburgh Penguins,48,26,8,104
2016,CHI,Chicago Blackhawks,47,26,9,103
2016,FLA,Florida Panthers,47,26,9,103
2016,ANA,Anaheim Ducks,46,25,11,103
2016,LAK,Los Angeles Kings,48,28,6,102
2016,NYR,New York Rangers,46,27,9,101
2016,NYI,New York Islanders,45,27,10,100
2016,SJS,San Jose Sharks,46,30,6,98
2016,TBL,Tampa Bay Lightning,46,31,5,97
2016,NSH,Nashville Predators,41,27,14,96
2016,PHI,Philadelphia Flyers,41,27,14,96
2016,DET,Detroit Red Wings,41,30,11,93
2016,BOS,Boston Bruins,42,31,9,93
2016,MIN,Minnesota Wild,38,33,11,87
2016,CAR,Carolina Hurricanes,35,31,16,86
2016,OTT,Ottawa Senators,38,35,9,85
2016,NJD,New Jersey Devils,38,36,8,84
2016,MTL,Montreal Canadiens,38,38,6,82
2016,COL,Colorado Avalanche,39,39,4,82
2016,BUF,Buffalo Sabres,35,36,11,81
2016,WPG,Winnipeg Jets,35,39,8,78
2016,ARI,Arizona Coyotes,35,39,8,78
2016,CGY,Calgary Flames,35,40,7,77
2016,CBJ,Columbus Blue Jackets,34,40,8,76
2016,VAN,Vancouver Canucks,31,38,13,75
2016,EDM,Edmonton Oilers,31,43,8,70
2016,TOR,Toronto Maple Leafs,29,42,11,69
2017,WSH,Washington Capitals,55,19,8,118
2017,PIT,Pittsburgh Penguins,50,21,11,111
2017,CHI,Chicago Blackhawks,50,23,9,109
2017,CBJ,Columbus Blue Jackets,50,24,8,108
2017,MIN,Minnesota Wild,49,25,8,106
2017,ANA,Anaheim Ducks,46,23,13,105
2017,MTL,Montreal Canadiens,47,26,9,103
2017,EDM,Edmonton Oilers,47,26,9,103
2017,NYR,New York Rangers,48,28,6,102
2017,STL,St. Louis Blues,46,29,7,99
2017,SJS,San Jose Sharks,46,29,7,99
2017,OTT,Ottawa Senators,44,28,10,98
2017,TOR,Toronto Maple Leafs,40,27,15,95
2017,BOS,Boston Bruins,44,31,7,95
2017,CGY,Calgary Flames,45,33,4,94
2017,TBL,Tampa Bay Lightning,42,30,10,94
2017,NSH,Nashville Predators,41,29,12,94
2017,NYI,New York Islanders,41,29,12,94
2017,PHI,Philadelphia Flyers,39,33,10,88
2017,WPG,Winnipeg Jets,40,35,7,87
2017,CAR,Carolina Hurricanes,36,31,15,87
2017,LAK,Los Angeles Kings,39,35,8,86
2017,FLA,Florida Panthers,35,36,11,81
2017,DAL,Dallas Stars,34,37,11,79
2017,DET,Detroit Red Wings,33,36,13,79
2017,BUF,Buffalo Sabres,33,37,12,78
2017,NJD,New Jersey Devils,28,40,14,70
2017,ARI,Arizona Coyotes,30,42,10,70
2017,VAN,Vancouver Canucks,30,43,9,69
2017,COL,Colorado Avalanche,22,56,4,48
2018,NSH,Nashville Predators,53,18,11,117
2018,WPG,Winnipeg Jets,52,20,10,114
2018,TBL,Tampa Bay Lightning,54,23,5,113
2018,BOS,Boston Bruins,50,20,12,112
2018,VGK,Vegas Golden Knights,51,24,7,109
2018,WSH,Washington Capitals,49,26,7,105
2018,TOR,Toronto Maple Leafs,49,26,7,105
2018,MIN,Minnesota Wild,45,26,11,101
2018,ANA,Anaheim Ducks,44,25,13,101
2018,SJS,San Jose Sharks,45,27,10,100
2018,PIT,Pittsburgh Penguins,47,29,6,100
2018,LAK,Los Angeles Kings,45,29,8,98
2018,PHI,Philadelphia Flyers,42,26,14,98
2018,CBJ,Columbus Blue Jackets,45,30,7,97
2018,NJD,New Jersey Devils,44,29,9,97
2018,FLA,Florida Panthers,44,30,8,96
2018,COL,Colorado Avalanche,43,30,9,95
2018,STL,St. Louis Blues,44,32,6,94
2018,DAL,Dallas Stars,42,32,8,92
2018,CGY,Calgary Flames,37,35,10,84
2018,CAR,Carolina Hurricanes,36,35,11,83
2018,NYI,New York Islanders,35,37,10,80
2018,EDM,Edmonton Oilers,36,40,6,78
2018,NYR,New York Rangers,34,39,9,77
2018,CHI,Chicago Blackhawks,33,39,10,76
2018,VAN,Vancouver Canucks,31,40,11,73
2018,DET,Detroit Red Wings,30,39,13,73
2018,MTL,Montreal Canadiens,29,40,13,71
2018,ARI,Arizona Coyotes,29,41,12,70
2018,OTT,Ottawa Senators,28,43,11,67
